pl_name,score_mean,score_std,rank_median,rank_p05,rank_p95,top10_probability
Kepler-1310 b,0.4926,0.04843482077728219,253.0,235.0,1028.0,0.0
Kepler-1339 b,0.5299999999999999,0.0,254.0,241.0,268.0,0.0
Kepler-1338 b,0.4886999999999999,0.07084736196496509,257.0,240.95,1790.1499999999999,0.0
Kepler-1365 b,0.5299999999999999,0.0,259.0,245.0,273.0,0.0
Kepler-1357 b,0.5186,0.03181295535244267,259.0,244.95,1024.0,0.0
Kepler-1365 c,0.5278999999999998,0.019269993911017726,260.0,246.0,275.0,0.0
Kepler-1371 b,0.52955,0.004087286608943291,261.0,247.95,277.0,0.0
Kepler-1355 b,0.4962749999999999,0.04729466614631909,262.0,246.0,1038.0,0.0
Kepler-1371 c,0.5253999999999999,0.028336299895779724,263.0,249.0,281.0,0.0
Kepler-1376 b,0.5281999999999999,0.013308426971543752,264.0,250.95,280.0,0.0
Kepler-1385 b,0.5201999999999999,0.042984361233142,267.5,253.0,327.3999999999669,0.0
Kepler-1372 b,0.49233999999999994,0.055980282099753045,269.0,250.95,1059.05,0.0
Kepler-1402 b,0.5299999999999999,0.0,271.0,257.0,285.04999999999995,0.0
Kepler-1377 b,0.51645,0.018376558322808458,271.0,253.0,700.0,0.0
Kepler-1390 b,0.5061249999999999,0.05175087614101548,271.0,256.0,1785.05,0.0
Kepler-1386 b,0.5040999999999999,0.048979464839378366,271.0,254.95,1043.0,0.0
Kepler-1399 b,0.5157999999999999,0.03578996847843504,272.0,257.95,1036.0,0.0
Kepler-1412 b,0.5156999999999999,0.046527837681958895,274.0,259.0,1790.0,0.0
Kepler-1380 b,0.49139999999999995,0.048731812803940615,274.0,254.0,1044.0,0.0
Kepler-1415 b,0.5209499999999999,0.022605187213955002,276.0,261.0,710.0,0.0
Kepler-1417 b,0.5064,0.054854882337240146,276.0,261.0,1794.0,0.0
Kepler-1425 b,0.522825,0.032687441206451895,277.0,261.95,298.0999999999999,0.0
Kepler-1438 b,0.5289999999999999,0.013392487350558507,279.0,264.0,294.0,0.0
Kepler-1440 b,0.5157999999999999,0.03493997142538058,282.0,266.95,1037.05,0.0
Kepler-1429 b,0.48799999999999993,0.06445392631356499,283.0,267.95,1799.0,0.0
Kepler-1464 c,0.5025999999999999,0.06063491722079565,285.0,269.0,1807.05,0.0
Kepler-1441 b,0.49429999999999996,0.06275656757302048,285.0,270.0,1799.0,0.0
Kepler-1482 b,0.5299999999999999,0.0,287.5,272.95,302.0,0.0
Kepler-1471 b,0.5039999999999999,0.043907353728308895,289.0,273.0,1056.05,0.0
Kepler-1468 c,0.47659999999999997,0.07694335943486115,290.5,273.0,1820.1499999999999,0.0
Kepler-150 b,0.5219999999999999,0.027156490014355647,291.0,276.0,1047.0,0.0
Kepler-1505 b,0.5299999999999999,0.0,292.0,278.0,306.0,0.0
Kepler-1431 b,0.47813999999999995,0.05867901544596167,292.0,266.0,1065.1499999999999,0.0
Kepler-1507 b,0.529925,0.0016770509831248361,294.0,280.0,308.04999999999995,0.0
Kepler-1500 b,0.49749999999999994,0.06314050559580421,294.0,277.95,1807.1,0.0
Kepler-1506 b,0.5129999999999999,0.03992728862261376,295.0,279.0,1066.0,0.0
Kepler-1525 b,0.5299999999999999,0.0,296.0,282.0,311.0,0.0
Kepler-1532 b,0.5093249999999999,0.04048004623622077,301.5,285.0,1075.0,0.0
Kepler-1542 b,0.5291999999999999,0.01263642982481345,302.0,286.0,317.0,0.0
Kepler-1541 b,0.5239999999999999,0.013761495467972572,302.5,288.0,701.0,0.0
Kepler-1542 c,0.5191999999999999,0.04524881114261053,303.0,287.95,2347.3999999999996,0.0
Kepler-1542 d,0.5299999999999999,0.0,304.0,288.0,318.04999999999995,0.0
Kepler-1542 e,0.5291999999999999,0.012636429824813443,305.0,289.0,320.0,0.0
Kepler-1559 b,0.5254749999999999,0.014650636754579253,308.0,292.0,701.05,0.0
Kepler-1553 b,0.5236249999999999,0.014100337372845235,308.0,292.0,704.05,0.0
Kepler-1560 b,0.5107999999999999,0.05134815738206251,309.0,294.0,1812.1,0.0
Kepler-154 f,0.48423999999999995,0.05101006227114221,312.0,287.95,1083.05,0.0
Kepler-1528 b,0.47719999999999996,0.06032776208144559,312.5,287.0,1790.1,0.0
Kepler-154 e,0.48299999999999993,0.04995990376259678,313.0,288.0,1082.0,0.0
Kepler-1572 b,0.5271999999999999,0.022653617211065662,314.0,298.0,331.0,0.0
Kepler-1570 b,0.5125749999999999,0.0421409372485279,315.0,299.0,1797.0,0.0
Kepler-1566 b,0.5179999999999999,0.017510374823312743,316.0,297.0,715.0,0.0
Kepler-1573 b,0.5157999999999999,0.040019534308291284,316.0,299.95,1079.0,0.0
Kepler-157 b,0.5021,0.04859333930952369,316.0,298.0,1087.0,0.0
Kepler-1578 b,0.5299999999999999,0.0,318.0,302.95,333.0,0.0
Kepler-1575 b,0.5096999999999999,0.040819633572215415,318.0,302.95,1080.0,0.0
Kepler-1576 b,0.4881999999999999,0.07178486004906968,320.0,302.95,1830.1499999999999,0.0
Kepler-1561 b,0.46229999999999993,0.07895681323808237,320.0,298.0,1837.1,0.0
Kepler-1588 b,0.5269999999999999,0.023709159590693894,321.0,305.0,337.0,0.0
Kepler-1583 b,0.5047999999999999,0.06643634227702708,321.0,306.0,2380.0,0.0
Kepler-1564 b,0.4856,0.049735170396296956,321.0,298.0,1086.1499999999999,0.0
Kepler-1574 b,0.48109999999999997,0.06966704381547972,322.0,302.95,1825.0,0.0
Kepler-1568 b,0.4704,0.07502731633473754,322.0,300.0,1829.1,0.0
Kepler-157 d,0.48449999999999993,0.058835986833683546,323.0,299.0,1099.1,0.0
Kepler-1612 b,0.5287,0.013177910100970417,326.0,310.95,342.04999999999995,0.0
Kepler-1601 b,0.49029999999999996,0.07576536663649906,327.0,310.0,2372.05,0.0
Kepler-1619 b,0.5184999999999998,0.043086690820387914,328.0,312.0,1796.1,0.0
Kepler-1629 b,0.5219999999999999,0.039231086606320555,330.0,314.0,351.0999999999999,0.0
Kepler-1598 b,0.47769999999999996,0.07894412168551496,330.0,310.0,2359.05,0.0
Kepler-1594 b,0.47079999999999994,0.07666233904895485,331.0,310.0,1829.0,0.0
Kepler-1631 b,0.5053,0.044709146889996235,335.0,317.0,1090.05,0.0
Kepler-1689 b,0.5264999999999999,0.02353418185174196,336.0,320.0,354.04999999999995,0.0
Kepler-1686 b,0.5189999999999999,0.03318436988718659,336.0,320.0,1083.05,0.0
Kepler-1623 b,0.486025,0.06563251579254378,336.0,316.0,1823.05,0.0
Kepler-163 b,0.47469999999999996,0.08632388792943992,337.0,316.0,2392.2,0.0
Kepler-1693 c,0.5299999999999999,0.0,338.0,322.0,353.04999999999995,0.0
Kepler-1693 b,0.5137999999999999,0.03688198152380432,339.0,322.0,1095.0,0.0
Kepler-1587 b,0.45833999999999997,0.08365788476507599,340.0,309.0,2953.05,0.0
Kepler-1695 b,0.51315,0.04232653507130349,341.0,323.0,1100.05,0.0
Kepler-164 b,0.4709999999999999,0.0728671341448046,344.0,318.95,2948.5499999999993,0.0
Kepler-1763 b,0.5021,0.05868114649449012,345.0,328.0,1823.0,0.0
Kepler-1595 b,0.510625,0.021084615173011495,346.5,312.95,723.0,0.0
Kepler-1860 b,0.529175,0.0055061338541702734,351.0,334.0,369.04999999999995,0.0
Kepler-1877 b,0.5247999999999999,0.0318589073880433,355.0,337.0,374.04999999999995,0.0
Kepler-1898 b,0.4992249999999999,0.06826442659890838,362.0,345.0,2380.1,0.0
Kepler-1867 b,0.48166499999999995,0.0707980579183499,362.0,340.95,2384.0,0.0
Kepler-1894 b,0.4869,0.06845994103893242,364.0,345.95,2369.1499999999996,0.0
Kepler-192 d,0.5299999999999999,0.0,365.0,347.0,382.0,0.0
Kepler-1894 c,0.48892499999999994,0.06575945168545692,365.0,346.0,1835.1,0.0
Kepler-1888 b,0.48732999999999993,0.05799329741522012,365.0,342.0,1155.1,0.0
Kepler-1864 b,0.4366,0.10977495653455896,366.5,339.0,3887.05,0.0
Kepler-1905 b,0.49199999999999994,0.05040914762549206,370.0,347.0,1143.05,0.0
Kepler-1955 b,0.5184999999999998,0.0385450573081137,371.0,354.0,1793.1499999999999,0.0
Kepler-1963 b,0.5197999999999999,0.03779970416908762,373.0,355.95,1812.1499999999999,0.0
Kepler-1962 b,0.5181999999999999,0.032293121425200806,373.0,355.0,1144.0,0.0
Kepler-1800 b,0.45663499999999996,0.08391542093525763,373.0,332.0,2404.0,0.0
Kepler-1990 c,0.5281999999999999,0.016652766414578597,376.0,359.0,395.04999999999995,0.0
Kepler-1965 b,0.5001,0.0599013049329088,376.0,357.0,1838.0,0.0
Kepler-1911 b,0.46169999999999994,0.08361874304470708,377.0,349.95,2401.0,0.0
Kepler-1934 b,0.45459999999999995,0.09927008158653032,377.0,353.0,2990.0,0.0
Kepler-1992 b,0.5284249999999999,0.007529625855981295,378.0,361.95,404.04999999999995,0.0
Kepler-1998 b,0.5120999999999999,0.05701834954090425,380.0,363.0,2381.0,0.0
Kepler-206 b,0.5204,0.031141283838631847,381.0,364.0,1149.05,0.0
Kepler-206 d,0.5166999999999999,0.03702501456322215,383.0,365.0,1156.0,0.0
Kepler-212 b,0.5184999999999998,0.0399492413415766,385.0,367.0,1823.1,0.0
Kepler-1991 b,0.4856,0.049735170396297,390.0,364.0,1163.05,0.0
Kepler-255 d,0.5196999999999999,0.02871077528097191,394.0,375.0,1159.1,0.0
Kepler-251 b,0.5042,0.044252418613068015,394.0,374.0,1170.0,0.0
Kepler-271 b,0.5299999999999999,0.0,396.0,378.0,415.04999999999995,0.0
Kepler-271 c,0.5299999999999999,0.0,397.0,379.0,416.04999999999995,0.0
Kepler-226 d,0.4825149999999999,0.06721941068877862,397.0,373.0,2387.0,0.0
